,p_sgEGR1_3,p_sgEGR1_2,p_sgEGR1_4,p_sgCREB1_2,p_sgNR2C2_2,p_sgNR2C2_3,p_sgNR2C2_5,p_sgCREB1_4,p_sgCREB1_5,p_sgYY1_3,p_sgGABPA_1,p_sgIRF1_2,p_sgIRF1_3,p_sgELK1_7,p_sgELK1_6,p_sgELF1_2,p_sgYY1_10,p_sgELF1_1,p_sgETS1_5,p_sgETS1_3,p_sgGABPA_9,p_sgELF1_4,p_sgELF1_5,p_sgELK1_1,p_sgE2F4_6,p_sgE2F4_7
MIR1302-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AL627309.1,0.004484739,0,0,0,0,0,0,0.001346602,0.005098669,0,0,0,0,0,-0.003204478,0,0,0,0,0,0,0,-0.001163739,0.009952927,0.005074393,0.012026327
RP11-34P13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AP006222.2,0,0,0,0,0,0,-0.008711637,0.001742256,0,0,0,0,-0.007044296,0,-0.001400093,0,0.014575824,0,0,-0.000110311,0,0,0.011931341,0.000498159,0.010111954,0.001745872
RP4-669L17.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP5-857K21.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-206L10.9,0,0,0,0.0024434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003255924
FAM87B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00115,0,0,0,0.001029372,0,0,-0.000717575,-0.002534999,0.004694605,0,-0.001816888,0,0,-0.001579191,0.019474239,0,0,0,0.002635381,0,0,0,0.015672112,0,-0.005012293,-0.001733952
FAM41C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-54O7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAMD11,0.002089176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NOC2L,0.016552354,0,-0.001857496,0,0,0.016404327,0,0.006549011,0.021454304,-0.025052032,-0.016655499,-0.008128065,0.011026326,-0.001715349,-0.016617872,0.02859551,0.016060188,0.028248006,-0.022186275,0,0,0,-0.000300279,0,-0.027351704,0
KLHL17,0,-0.011289086,-0.005008946,0.001073473,0,0,0,0.003876766,0.012903617,-0.011405928,0.003405205,0,0,-0.002662485,-0.001959176,0,0.001454419,0,-0.000749699,0,0,0,-0.003190802,0,0,0
PLEKHN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001739054,0,0
